BeamType;X_Pos;SuppL_Pos;SuppR_Pos;Calc_factor;Calc_const;Finger_pressed;Press_Distance;Press_force;Deviation_Finger_1(Right);Deviation_Finger_2;Deviation_Finger_3;Deviation_Finger_4;Deviation_Finger_5;Deviation_Finger_6;Deviation_Finger_7;Deviation_Finger_8;Note
CF500 SL2 (21/112) 130056;1595.259;335.4836;197.9999;0.7;3.3;3;283.3238;146.7618;0.001;1.409966;2.290238;2.555543;1.884129;0.7449041;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1259.181;200.0159;197.9999;0.9;5.2;4;288.4984;295.6402;0.001;-0.1250681;-0.7807192;-1.495788;-1.400775;-0.8664317;0.001;0.001;
CF500 SL2 (21/112) 130056;1600.651;335.484;197.9999;0.7;3.3;3;283.712;146.1399;0.001;1.623452;2.498902;2.64552;2.02372;0.861836;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1265.273;200.0159;197.9999;0.9;5.2;4;288.4643;293.6725;0.001;-0.1757883;-0.9955668;-1.911674;-1.60519;-0.9236407;0.001;0.001;
CF500 SL2 (21/112) 130056;1596.459;335.4836;197.9999;0.7;3.3;3;0.0;61.97509;0.001;1.413552;2.254529;2.450246;1.796387;0.7466131;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1264.982;200.016;197.9999;0.9;5.2;4;288.4051;294.3947;0.001;-0.0887026;-0.7215953;-1.401016;-1.203281;-0.7397952;0.001;0.001;
CF500 SL2 (21/112) 130056;1595.049;335.487;197.9999;0.7;3.3;3;283.6289;146.3143;0.001;-0.3327899;-1.178123;-1.722957;-1.449581;-0.851787;0.001;0.001;
CF500 SL2 (21/112) 130056;1595.049;335.487;197.9999;0.7;3.3;3;283.6289;146.3143;0.001;0.9395948;2.073544;2.381112;1.916386;0.8317533;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1259.349;200.014;197.9999;0.9;5.2;4;287.8502;292.4185;0.001;-0.5557513;-0.9475016;-1.564254;-1.21342;-0.6900057;0.001;0.001;
CF500 SL2 (21/112) 130056;1259.349;200.014;197.9999;0.9;5.2;4;287.8502;292.4185;0.001;-0.5557513;-0.9475016;-1.564254;-1.21342;-0.6900057;0.001;0.001;within limits
CF500 SL2 (21/112) 130056;1259.349;200.014;197.9999;0.9;5.2;4;287.8502;292.4185;0.001;1.515557;2.340928;2.531987;1.911397;0.8191305;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1259.354;200.0066;197.9999;0.9;5.2;4;288.5696;295.9398;0.001;-0.05862754;-0.736793;-1.516246;-1.350585;-0.7830805;0.001;0.001;
CF500 SL2 (21/112) 130056;1597.662;335.4855;197.9999;0.7;3.3;3;0.0;61.1369;0.001;1.168618;2.023228;2.191899;1.589581;0.6272665;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130056;1258.657;200.0139;197.9999;0.9;5.2;4;287.7173;274.339;0.001;-0.4879679;-1.25661;-2.100876;-1.805473;-1.027816;0.001;0.001;
CF500 SL2 (21/112) 130058;1258.657;200.0139;197.9999;0.9;5.2;4;287.7173;274.339;0.001;0.9307256;1.959824;2.606606;2.301793;1.174908;0.001;0.001;importing new beam
CF500 SL2 (21/112) 130058;1258.657;200.0069;197.9999;0.9;5.2;4;287.9813;299.8413;0.001;-0.6408763;-1.184829;-1.43312;-0.81533;-0.3689188;0.001;0.001;
CF500 SL2 (21/112) 130058;1258.657;200.0069;197.9999;0.9;5.2;4;287.9813;299.8413;0.001;-0.6408763;-1.184829;-1.43312;-0.81533;-0.3689188;0.001;0.001;within limits
CF500 SL2 (21/112) 130058;1258.657;200.0069;197.9999;0.9;5.2;4;287.9813;299.8413;0.001;1.038014;1.975121;2.457944;2.124489;1.107175;0.001;0.001;importing new beam
